"","Topic 1","Topic 2","Topic 3"
"1","compani","stock","jone"
"2","employ","compani","dow"
"3","year","market","market"
"4","perform","year","say"
"5","million","profit","stock"
"6","evalu","new","compani"
"7","new","point","year"
"8","bank","earn","trade"
"9","work","busi","warn"
"10","unit","warn","cut"
"11","state","investor","cent"
"12","system","price","nasdaq"
"13","market","report","expect"
"14","american","index","news"
"15","group","dow","rate"
"16","cut","nasdaq","profit"
"17","manag","analyst","one"
"18","includ","trade","lower"
"19","china","inc","trader"
"20","march","expect","analyst"
