"","Topic 1","Topic 2"
"1","dow","stock"
"2","jone","year"
"3","market","market"
"4","stock","new"
"5","year","profit"
"6","say","point"
"7","warn","compani"
"8","trade","earn"
"9","profit","busi"
"10","nasdaq","report"
"11","news","share"
"12","expect","inc"
"13","new","analyst"
"14","cut","investor"
"15","week","price"
"16","price","index"
"17","earn","warn"
"18","point","rose"
"19","analyst","nasdaq"
"20","rate","expect"
"21","share","industri"
"22","time","one"
"23","one","york"
"24","lower","rate"
"25","index","first"
"26","close","billion"
"27","investor","last"
"28","report","week"
"29","also","also"
"30","talk","sale"
