,,V1,V2,V3,,,,,,,,
01/01/1999,10,20%,63%,16%,2,,,,,Topic 1,Topic 2,Topic 3
01/02/1999,7,26%,60%,14%,2,,,,1,compani,stock,jone
01/03/1999,17,40%,47%,13%,2,,,,2,employ,compani,dow
01/04/1999,1,4%,72%,24%,2,,,,3,year,market,market
01/05/1999,20,32%,59%,9%,2,,,,4,perform,year,say
01/06/1999,15,18%,66%,17%,2,,,,5,million,profit,stock
01/07/1999,13,28%,61%,11%,2,,,,6,evalu,new,compani
01/08/1999,3,10%,82%,8%,2,,,,7,new,point,year
01/09/1999,26,19%,67%,14%,2,,,,8,bank,earn,trade
01/10/1999,24,31%,57%,12%,2,,,,9,work,busi,warn
01/11/1999,22,15%,79%,7%,2,,,,10,unit,warn,cut
01/12/1999,5,6%,89%,5%,2,,,,11,state,investor,cent
01/01/2000,11,4%,91%,5%,2,,,,12,system,price,nasdaq
01/02/2000,8,15%,78%,7%,2,,,,13,market,report,expect
01/03/2000,18,1%,93%,5%,2,,,,14,american,index,news
01/04/2000,2,21%,77%,2%,2,,,,15,group,dow,rate
01/05/2000,21,16%,72%,12%,2,,,,16,cut,nasdaq,profit
01/06/2000,16,40%,54%,6%,2,,,,17,manag,analyst,one
01/07/2000,14,4%,89%,7%,2,,,,18,includ,trade,lower
01/08/2000,4,17%,74%,9%,2,,,,19,china,inc,trader
01/09/2000,27,2%,79%,19%,2,,,,20,march,expect,analyst
01/10/2000,25,4%,66%,31%,2,,,,,,,
01/11/2000,23,2%,28%,70%,3,,,,,,,
01/12/2000,6,0%,33%,67%,3,,,,,,,
01/01/2001,12,1%,19%,80%,3,,,,,,,
01/02/2001,9,3%,29%,68%,3,,,,,,,
01/03/2001,19,32%,49%,19%,2,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,[1],April-1999 (2).txt,April-2000 (2).txt,Aug-1999 (2).txt,Aug-2000 (2).txt,Dec-1999 (2).txt,Dec-2000.txt,,,,,
,[7],Feb-1999 (2).txt,Feb-2000 (2).txt,Feb-2001.txt,Jan-1999.txt,Jan-2000.txt,Jan-2001.txt,,,,,
,[13],July-1999 (2).txt,July-2000 (2).txt,June-1999 (2).txt,June-2000 (2).txt,Mar-1999.txt,Mar-2000 (2).txt,,,,,
,[19],Mar-2001.txt,May-1999 (2).txt,May-2000 (2).txt,Nov-1999 (2).txt,Nov-2000 (2).txt,Oct-1999 (2).txt,,,,,
,[25],Oct-2000.txt,Sep-1999 (2).txt,Sep-2000.txt,,,,,,,,
,,,,,,,,,,,,
,,Apr-99,,,,,,,,,,
,,Apr-00,,,,,,,,,,
,,Aug-99,,,,,,,,,,
,,Aug-00,,,,,,,,,,
,,Dec-99,,,,,,,,,,
,,Dec-00,,,,,,,,,,
,,Feb-99,,,,,,,,,,
,,Feb-00,,,,,,,,,,
,,Feb-01,,,,,,,,,,
,,Jan-99,,,,,,,,,,
,,Jan-00,,,,,,,,,,
,,Jan-01,,,,,,,,,,
,,Jul-99,,,,,,,,,,
,,Jul-00,,,,,,,,,,
,,Jun-99,,,,,,,,,,
,,Jun-00,,,,,,,,,,
,,Mar-99,,,,,,,,,,
,,Mar-00,,,,,,,,,,
,,Mar-01,,,,,,,,,,
,,May-99,,,,,,,,,,
,,May-00,,,,,,,,,,
,,Nov-99,,,,,,,,,,
,,Nov-00,,,,,,,,,,
,,Oct-99,,,,,,,,,,
,,Oct-00,,,,,,,,,,
,,Sep-99,,,,,,,,,,
,,Sep-00,,,,,,,,,,
